Sample Name,Well Label,RNA Quality Score,Peak Count,RNA Area,rRNA Area Ratio [28S/18S],rRNA Height Ratio [28S/18S],rRNA Fast Area Ratio,5S Area,5S %Total,18S Area,18S %Total,28S Area,28S %Total
77,E10,3.66,12,60.12,0.04,0.17,0.75,0.43,0.01,2.48,0.04,0.10,0.00
47,G06,3.66,9,49.51,0.00,0.00,0.71,0.23,0.00,1.31,0.03,0.00,0.00
72,H09,3.64,7,40.36,0.00,0.00,0.72,0.37,0.01,1.17,0.03,0.00,0.00
129,A05,3.63,15,57.81,0.00,0.00,0.65,1.22,0.02,0.27,0.00,0.00,0.00
93,E12,3.58,14,67.51,0.42,0.37,0.76,0.64,0.01,0.43,0.01,0.18,0.00
111,G02,3.56,9,33.12,0.00,0.00,0.72,0.27,0.01,0.82,0.02,0.00,0.00
59,C08,3.56,6,27.40,0.00,0.00,0.79,0.00,0.00,0.55,0.02,0.00,0.00
23,G03,3.49,10,49.65,0.00,0.00,0.81,0.00,0.00,1.42,0.03,0.00,0.00
101,E01,3.48,7,23.24,0.00,0.00,0.74,0.17,0.01,0.25,0.01,0.00,0.00
61,E08,3.38,15,75.72,0.45,0.24,0.77,0.88,0.01,0.33,0.00,0.15,0.00
80,H10,3.34,4,25.06,0.00,0.00,0.83,0.00,0.00,0.12,0.00,0.00,0.00
121,A04,3.31,7,64.71,0.00,0.00,0.74,1.07,0.02,0.08,0.00,0.00,0.00
8,H01,3.26,12,82.04,0.00,0.00,0.68,2.05,0.03,0.92,0.01,0.00,0.00
11,C02,3.22,14,114.41,0.00,0.00,0.68,3.37,0.03,1.01,0.01,0.00,0.00
4,D01,3.22,9,50.53,0.00,0.00,0.68,1.59,0.03,0.21,0.00,0.00,0.00
19,C03,3.20,15,121.78,0.00,0.00,0.70,3.06,0.03,1.25,0.01,0.00,0.00
15,G02,3.09,11,101.64,0.00,0.00,0.70,2.01,0.02,0.71,0.01,0.00,0.00
20,D03,3.06,7,35.78,0.00,0.00,0.73,0.32,0.01,0.31,0.01,0.00,0.00
22,F03,2.99,14,136.95,0.00,0.00,0.70,10.66,0.08,0.94,0.01,0.00,0.00
6,F01,2.94,7,55.70,0.00,0.00,0.60,1.85,0.03,0.15,0.00,0.00,0.00
14,F02,2.81,4,33.47,0.00,0.00,0.78,0.54,0.02,0.00,0.00,0.00,0.00
12,D02,2.74,5,27.19,0.00,0.00,0.78,0.66,0.02,0.00,0.00,0.00,0.00
5,E01,2.73,6,60.43,0.00,0.00,0.69,4.14,0.07,0.00,0.00,0.00,0.00
2,B01,2.72,6,69.74,0.00,0.00,0.71,2.07,0.03,0.00,0.00,0.00,0.00
18,B03,2.69,6,72.36,0.00,0.00,0.94,0.07,0.00,0.00,0.00,0.00,0.00
21,E03,2.69,5,40.80,0.00,0.00,0.81,0.35,0.01,0.00,0.00,0.00,0.00
13,E02,2.67,8,97.39,0.00,0.00,0.79,3.33,0.03,0.00,0.00,0.00,0.00
9,A02,2.65,10,83.63,0.00,0.00,0.71,6.02,0.07,0.00,0.00,0.00,0.00
7,G01,2.64,5,35.86,0.00,0.00,0.77,1.39,0.04,0.00,0.00,0.00,0.00
3,C01,2.57,5,40.65,0.00,0.00,0.71,1.95,0.05,0.00,0.00,0.00,0.00
1,A01,2.57,6,63.99,0.00,0.00,0.57,11.30,0.18,0.00,0.00,0.00,0.00
